Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player
2012,Western Michigan,MAC,FR,WR,11,18,135,7.5,0,12.3,4,5,1.3,1,0.5,22,140,6.4,1,,Daniel Braverman
,,,,,,,,,,,,,,,,,,,,,Daniel Braverman
2014*,Western Michigan,MAC,SO,WR,13,86,997,11.6,6,76.7,6,58,9.7,1,4.5,92,1055,11.5,7,,Daniel Braverman
2015*,Western Michigan,MAC,JR,WR,13,109,1377,12.6,13,105.9,2,13,6.5,0,1.0,111,1390,12.5,13,,Daniel Braverman
2013*,UCLA,Pac-12,,WR,10,16,214,13.4,3,21.4,0,0,,0,0.0,16,214,13.4,3,,Thomas Duarte
2014*,UCLA,Pac-12,SO,WR,12,28,540,19.3,4,45.0,0,0,,0,0.0,28,540,19.3,4,,Thomas Duarte
2015*,UCLA,Pac-12,JR,WR,13,53,872,16.5,10,67.1,0,0,,0,0.0,53,872,16.5,10,,Thomas Duarte
2011*,Clemson,ACC,FR,WR,14,4,71,17.8,0,5.1,1,-13,-13.0,0,-0.9,5,58,11.6,0,,Charone Peake
2012*,Clemson,ACC,SO,WR,13,25,172,6.9,2,13.2,1,4,4.0,0,0.3,26,176,6.8,2,,Charone Peake
2013*,Clemson,ACC,JR,WR,2,8,84,10.5,1,42.0,0,0,,0,0.0,8,84,10.5,1,,Charone Peake
2014*,Clemson,ACC,JR,WR,7,12,129,10.8,2,18.4,0,0,,0,0.0,12,129,10.8,2,,Charone Peake
2015*,Clemson,ACC,SR,WR,15,50,716,14.3,5,47.7,0,0,,0,0.0,50,716,14.3,5,,Charone Peake
2013,California,Pac-12,FR,WR,11,37,347,9.4,5,31.5,0,0,,0,0.0,37,347,9.4,5,,Kenny Lawler
2014,California,Pac-12,SO,WR,11,54,701,13.0,9,63.7,0,0,,0,0.0,54,701,13.0,9,,Kenny Lawler
2015*,California,Pac-12,JR,WR,13,52,658,12.7,13,50.6,1,5,5.0,0,0.4,53,663,12.5,13,,Kenny Lawler
